Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.987,0.5755332853645935,45.241,0.4085714216714215,84.666,0.5691939544283281,8967.714,6.059792892987837
Sample,ch1,ch2,ch3,ch4
1,72,47,92,9076
2,76,37,78,9118
3,85,37,80,9004
4,90,48,86,9001
5,86,30,84,9017
6,76,48,84,8769
7,81,41,78,8970
8,83,45,86,9112
9,87,65,79,8948
10,85,48,87,8939
11,95,50,89,9067
12,85,37,89,8970
13,73,55,98,9120
14,86,52,93,9097
15,83,38,80,8906
16,80,49,91,9106
17,87,43,77,8932
18,85,33,73,9026
19,74,48,78,8972
20,77,56,85,9187
21,79,51,77,9017
22,92,48,94,9138
23,80,53,109,8937
24,84,49,99,9147
25,82,39,76,8896
26,79,44,105,9061
27,72,53,90,8872
28,81,52,73,8910
29,82,45,74,9018
30,102,42,71,8898
31,88,42,85,8852
32,78,50,94,8903
33,72,36,82,9032
34,66,40,76,9009
35,64,42,95,8893
36,90,43,87,9019
37,74,53,74,8949
38,84,40,83,8853
39,97,41,72,9019
40,86,36,82,8975
41,98,38,85,8921
42,79,34,83,8886
43,69,40,97,8908
44,82,48,85,8937
45,91,39,72,8982
46,92,39,97,8951
47,84,47,76,8952
48,105,36,90,9037
49,76,52,91,9000
50,96,45,111,9126
51,86,36,88,8941
52,64,37,80,8948
53,105,43,87,8973
54,94,51,86,9096
55,92,34,76,9012
56,103,43,75,9013
57,88,41,93,9105
58,83,45,95,9094
59,94,32,79,8953
60,89,39,76,9013
61,90,43,74,9119
62,88,46,70,9174
63,93,49,101,9004
64,81,44,105,9101
65,102,51,91,8982
66,94,46,71,8857
67,82,51,104,8952
68,74,49,95,8940
69,100,50,70,9063
70,102,48,86,8973
71,91,50,94,9011
72,81,57,76,8968
73,78,33,82,8988
74,94,54,87,8958
75,84,42,63,9004
76,89,59,71,9020
77,91,45,98,9035
78,84,47,81,8881
79,78,45,76,8984
80,102,54,89,9021
81,72,48,71,8979
82,87,43,65,8823
83,87,41,75,8964
84,84,41,86,8861
85,83,56,88,8985
86,76,48,79,9118
87,77,49,93,9058
88,89,49,96,8946
89,91,36,87,8835
90,87,39,84,9108
91,75,57,81,9027
92,86,38,95,8921
93,88,47,90,8947
94,77,44,81,8925
95,95,41,72,8722
96,85,43,93,8940
97,68,46,79,8925
98,104,45,68,8927
99,80,52,72,8980
100,85,42,97,9050
101,92,33,96,8842
102,75,39,86,8729
103,95,38,92,8908
104,89,51,86,9004
105,87,54,84,9055
106,82,50,85,8895
107,87,47,68,9073
108,77,44,103,8939
109,99,39,90,8708
110,79,50,77,9011
111,74,45,85,8936
112,79,38,83,9140
113,82,50,69,8926
114,82,43,91,8996
115,83,31,93,9002
116,94,40,85,9039
117,86,50,68,9123
118,73,48,87,8953
119,103,39,80,9033
120,82,49,76,9092
121,76,46,81,8825
122,79,42,81,8988
123,83,55,81,8954
124,93,45,99,8991
125,91,44,82,9055
126,70,58,80,9061
127,80,47,83,8898
128,90,53,91,8912
129,88,39,95,9079
130,84,39,74,9048
131,89,42,83,9073
132,83,42,82,8873
133,70,48,78,8845
134,83,34,84,9094
135,73,56,81,9057
136,85,47,82,8957
137,82,46,92,9081
138,74,44,85,9053
139,102,42,73,8916
140,84,49,85,8897
141,62,52,82,8902
142,101,43,84,8980
143,86,42,92,8909
144,93,49,90,8788
145,80,39,94,9028
146,100,44,84,8833
147,88,44,84,8842
148,82,45,84,8900
149,85,47,79,9034
150,89,25,98,8976
151,75,49,80,8976
152,81,44,80,9057
153,102,46,84,9067
154,83,46,92,8963
155,85,52,84,8963
156,68,54,78,9073
157,93,45,82,8934
158,74,41,79,8892
159,76,41,86,8913
160,76,52,82,9042
161,84,49,86,8993
162,97,32,81,9117
163,75,48,96,9031
164,96,40,80,9062
165,85,54,88,9080
166,80,32,75,8991
167,89,52,99,8886
168,86,40,88,8782
169,86,47,79,8810
170,74,55,75,8859
171,68,37,87,8909
172,92,41,89,8989
173,82,47,100,9053
174,93,47,88,8935
175,76,40,76,8826
176,86,33,92,8932
177,90,36,79,9047
178,79,46,94,9009
179,81,46,85,8994
180,84,44,85,8960
181,79,41,102,9009
182,70,44,71,9112
183,91,36,94,8726
184,81,40,86,9041
185,75,50,80,8944
186,78,59,76,8883
187,80,35,80,9011
188,83,51,70,8896
189,78,47,86,8954
190,83,38,84,9114
191,94,45,83,8876
192,70,43,87,8826
193,100,41,98,8947
194,88,36,83,8994
195,78,45,88,8769
196,78,44,91,8925
197,81,52,84,8761
198,74,43,96,9064
199,69,42,91,8956
200,99,48,95,9009
201,70,43,83,8918
202,81,48,73,8897
203,86,51,81,8970
204,90,52,83,8946
205,96,44,78,8902
206,71,38,92,8951
207,82,34,98,9029
208,86,45,82,8970
209,90,39,92,8800
210,66,40,104,9008
211,76,40,85,8908
212,96,53,93,8995
213,98,48,75,8963
214,79,53,73,8950
215,91,46,85,8970
216,77,42,90,8909
217,77,32,83,9067
218,80,54,67,8854
219,83,49,71,8721
220,78,53,88,9022
221,82,44,76,8972
222,82,49,87,8907
223,71,53,86,8839
224,79,40,78,8933
225,84,45,94,8873
226,97,46,85,8956
227,86,44,99,8996
228,90,43,67,9007
229,81,49,102,8972
230,94,45,68,9030
231,98,47,83,9097
232,76,47,68,9104
233,87,50,78,8958
234,76,59,90,9106
235,88,44,83,8879
236,71,48,100,8957
237,87,41,78,8987
238,76,48,84,8962
239,83,49,70,8796
240,89,37,80,8866
241,80,54,99,8947
242,85,52,86,9035
243,86,39,77,8896
244,73,45,81,8902
245,78,50,93,8961
246,77,43,89,8993
247,79,49,71,9036
248,92,40,78,8958
249,74,46,83,9056
250,78,44,97,9018
251,87,53,93,8995
252,70,45,86,9064
253,95,48,77,8963
254,85,49,98,8971
255,81,49,85,8948
256,72,38,76,8854
257,75,48,102,9127
258,89,47,83,9111
259,85,44,82,9104
260,81,39,80,9007
261,78,33,85,9022
262,85,46,88,8996
263,96,49,91,8879
264,82,36,81,8944
265,82,47,86,9031
266,80,46,92,9047
267,76,31,78,8979
268,98,53,74,9007
269,80,52,85,8998
