Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.972,0.5757780686899983,46.287,0.4067332737261065,8659.702,6.198823614057606,57.203,0.46924978354748265
Sample,ch1,ch2,ch3,ch4
279,102,35,8579,51
280,76,57,8735,67
281,94,46,8722,55
282,82,41,8579,53
283,61,42,8716,58
284,96,63,8406,47
285,88,53,8717,67
286,80,54,8754,54
287,77,34,8751,50
288,93,44,8927,59
289,83,54,8690,53
290,83,49,8563,48
291,81,41,8491,59
292,84,49,8601,56
293,95,51,8587,67
294,82,43,8655,47
295,95,56,8661,57
296,90,59,8661,52
297,80,34,8855,63
298,66,35,8605,60
299,103,46,8619,49
300,86,53,8690,70
301,86,44,8668,56
302,89,53,8846,60
303,95,49,8685,57
304,79,46,8713,60
305,88,40,8538,72
306,99,43,8657,53
307,77,48,8581,62
308,91,44,8768,46
309,84,50,8718,55
310,82,49,8606,69
311,93,43,8644,52
312,93,58,8723,50
313,87,40,8701,58
314,91,43,8752,50
315,82,47,8647,59
316,81,43,8808,68
317,92,50,8676,57
318,72,54,8581,41
319,76,48,8739,62
320,89,43,8747,64
321,76,48,8876,61
322,82,33,8707,52
323,76,45,8612,84
324,82,54,8611,53
325,94,49,8805,50
326,94,44,8805,59
327,82,44,8856,64
328,73,36,8613,73
329,105,45,8682,57
330,88,47,8601,72
331,82,42,8574,56
332,89,41,8742,50
333,75,46,8571,54
334,74,38,8612,52
335,76,54,8511,46
336,102,55,8752,60
337,82,54,8790,48
338,103,53,8664,60
339,85,52,8703,70
340,77,50,8723,65
341,89,29,8714,50
342,99,46,8547,60
343,83,47,8768,53
344,83,44,8665,61
345,104,52,8571,76
346,86,60,8600,44
347,81,51,8650,46
348,73,39,8797,53
349,100,57,8567,74
350,81,51,8779,59
351,85,49,8592,64
352,79,42,8726,69
353,93,53,8739,51
354,84,43,8694,65
355,81,48,8831,60
356,87,52,8567,65
357,79,59,8790,61
358,81,36,8644,67
359,82,45,8695,48
360,71,42,8790,62
361,84,59,8632,61
362,74,54,8689,54
363,66,46,8603,40
364,89,45,8790,54
365,83,56,8814,59
366,79,45,8796,61
367,82,54,8749,58
368,63,46,8715,52
369,89,38,8746,45
370,81,49,8648,64
371,71,41,8671,73
372,84,35,8679,74
373,106,51,8762,59
374,70,62,8653,65
375,74,45,8837,56
376,79,41,8662,50
377,80,43,8656,45
378,101,49,8541,64
379,90,33,8681,58
380,75,47,8644,77
381,73,41,8567,56
382,98,46,8644,57
383,87,55,8610,53
384,101,25,8614,63
385,88,45,8642,53
386,82,40,8537,65
387,71,47,8671,56
388,92,39,8705,68
389,74,53,8859,60
390,90,47,8702,57
391,94,50,8642,59
392,82,41,8801,49
393,83,55,8713,65
394,61,44,8718,51
395,103,57,8712,52
396,85,58,8673,51
397,96,44,8671,57
398,71,44,8700,57
399,94,50,8699,42
400,77,60,8637,65
401,66,37,8719,66
402,74,42,8570,56
403,88,52,8513,53
404,71,38,8760,53
405,79,48,8614,52
406,79,55,8402,59
407,82,48,8530,59
408,78,49,8665,54
409,104,51,8676,59
410,80,55,8618,56
411,70,57,8759,63
412,80,44,8672,51
413,73,46,8705,59
414,88,45,8740,51
415,83,36,8632,56
416,79,51,8802,63
417,97,47,8562,48
418,80,54,8582,49
419,70,43,8629,66
420,76,48,8650,61
421,82,36,8555,47
422,90,41,8614,58
423,78,53,8492,54
424,80,46,8627,58
425,74,42,8798,51
426,97,50,8524,54
427,92,47,8701,63
428,80,47,8794,60
429,75,46,8569,54
430,83,46,8817,51
431,83,42,8605,60
432,76,61,8612,67
433,79,64,8578,65
434,84,45,8613,58
435,60,48,8656,70
436,86,46,8750,56
437,90,45,8719,64
438,84,42,8757,66
439,75,55,8435,66
440,73,44,8580,63
441,84,48,8513,53
442,102,51,8738,58
443,89,43,8472,48
444,85,54,8708,64
445,69,47,8674,58
446,86,50,8594,58
447,70,55,8688,52
448,82,52,8795,63
449,97,45,8632,60
450,72,47,8723,55
451,79,42,8818,60
452,86,43,8839,54
453,76,39,8676,59
454,71,40,8747,66
455,85,47,8798,50
456,81,50,8722,57
457,65,53,8705,58
458,91,44,8626,59
459,84,48,8706,54
460,67,32,8700,54
461,96,45,8621,64
462,86,46,8591,47
463,88,41,8759,58
464,77,54,8594,69
465,84,47,8570,47
466,76,47,8690,44
467,98,47,8643,70
468,97,56,8480,47
469,85,50,8589,49
470,72,51,8694,58
471,95,64,8654,58
472,93,47,8602,65
473,85,44,8761,49
474,95,52,8599,53
475,92,31,8580,54
476,87,45,8645,52
477,98,44,8649,52
478,72,38,8614,45
479,77,48,8645,52
480,90,62,8712,65
481,88,49,8487,65
482,86,39,8602,56
483,97,50,8658,69
484,81,36,8527,54
485,76,48,8759,52
486,74,39,8749,57
487,92,43,8689,56
488,71,47,8566,51
489,79,41,8699,67
490,90,55,8623,53
491,76,41,8516,50
492,102,42,8477,60
493,71,41,8811,58
494,78,42,8704,51
495,93,50,8562,57
496,94,54,8433,59
497,86,49,8713,53
498,85,48,8532,45
499,84,43,8683,65
500,84,55,8616,48
501,98,37,8778,67
502,80,43,8696,49
503,83,51,8718,51
504,82,50,8585,63
505,69,42,8619,59
506,83,52,8551,59
507,102,48,8812,60
508,90,42,8725,57
509,88,47,8694,65
510,80,47,8620,65
511,78,56,8719,45
512,78,43,8780,49
513,74,57,8811,57
514,104,52,8799,64
515,85,56,8663,67
516,83,46,8730,52
517,69,48,8673,67
518,80,51,8608,72
519,90,45,8766,46
520,61,42,8739,43
521,95,53,8681,53
522,93,43,8644,60
523,86,43,8597,57
524,88,44,8565,60
525,100,46,8496,51
526,86,47,8781,55
527,104,41,8527,60
528,90,51,8593,58
529,83,49,8664,73
530,85,43,8703,56
531,90,45,8729,60
532,91,42,8697,56
533,98,52,8607,44
534,104,51,8700,60
535,81,48,8723,56
536,68,49,8718,54
537,83,43,8749,60
538,86,46,8596,46
539,74,39,8631,53
540,102,48,8637,34
541,85,41,8677,54
542,73,45,8666,49
543,81,43,8673,47
544,82,44,8653,55
545,80,50,8703,45
546,88,50,8622,54
547,96,53,8663,61
548,78,42,8521,40
549,90,45,8524,52
550,81,45,8645,56
551,94,56,8571,54
552,71,47,8599,58
553,83,56,8595,49
554,71,57,8701,69
555,70,45,8926,44
556,91,59,8737,68
557,81,31,8728,68
558,86,41,8887,59
559,78,52,8676,49
560,107,47,8566,54
561,79,36,8782,50
562,94,46,8774,61
563,90,46,8687,78
564,90,43,8592,63
565,90,33,8826,54
566,80,44,8636,61
567,92,53,8649,48
568,88,60,8775,55
569,83,51,8629,51
570,91,38,8763,50
571,100,48,8544,52
572,86,51,8638,46
573,80,49,8671,46
574,97,52,8736,51
575,72,56,8482,64
576,90,41,8754,69
577,84,43,8618,50
578,88,37,8673,55
579,71,48,8662,57
580,80,48,8869,49
581,82,44,8684,68
582,83,41,8571,52
583,87,45,8630,48
584,81,47,8624,46
585,80,35,8651,57
586,74,43,8554,54
587,84,59,8552,50
588,101,48,8658,61
589,78,49,8596,69
590,85,39,8540,57
591,84,54,8579,56
592,75,44,8583,61
593,89,54,8650,60
594,77,58,8594,50
595,75,48,8530,57
596,77,39,8464,54
597,88,49,8592,62
598,63,55,8769,47
599,76,41,8770,55
600,85,49,8538,53
601,87,49,8571,48
602,93,42,8675,66
603,99,48,8557,64
604,81,48,8616,48
605,76,44,8690,68
606,87,45,8580,54
607,77,38,8692,61
608,82,60,8849,58
609,76,47,8532,59
610,79,47,8628,60
611,89,44,8641,62
612,77,47,8613,48
613,86,37,8694,53
614,81,48,8613,58
615,81,54,8554,55
616,99,43,8585,49
617,77,54,8711,70
618,66,54,8725,63
619,72,58,8656,45
620,86,40,8745,63
621,85,41,8710,55
622,76,40,8740,50
623,85,39,8488,63
624,85,35,8539,52
625,87,41,8535,53
626,76,57,8776,62
627,71,47,8347,58
628,82,52,8579,51
629,86,56,8686,57
630,96,38,8603,61
631,87,38,8820,48
632,88,46,8755,54
633,73,39,8607,60
634,88,47,8644,52
635,81,65,8724,62
636,94,52,8604,68
637,71,43,8604,46
638,78,55,8822,50
639,86,55,8762,46
640,90,40,8755,58
641,71,46,8463,60
642,80,47,8754,52
643,80,40,8783,62
644,97,49,8588,54
645,71,39,8568,60
646,73,44,8794,66
647,91,51,8746,54
648,82,40,8602,56
649,71,46,8571,56
650,78,50,8735,42
651,80,51,8724,50
652,81,49,8678,52
653,81,46,8681,70
654,72,46,8609,55
655,80,46,8596,70
656,90,50,8470,56
657,80,49,8617,55
658,95,66,8622,53
659,73,29,8753,39
660,89,50,8747,50
661,91,39,8597,61
662,70,45,8564,58
663,88,60,8619,51
664,78,47,8640,50
665,85,38,8640,67
666,91,41,8697,59
667,100,54,8446,52
668,90,49,8576,47
669,83,46,8518,62
670,78,47,8659,72
671,96,58,8520,61
672,110,49,8879,64
673,92,47,8653,65
674,84,43,8860,63
675,74,57,8580,54
676,96,51,8773,59
677,74,45,8451,53
678,88,44,8701,57
679,76,46,8692,54
680,81,58,8702,48
681,82,45,8728,52
682,76,43,8503,69
683,99,37,8653,51
684,95,43,8774,49
685,96,39,8564,59
686,86,52,8616,70
687,89,40,8655,54
688,91,40,8636,43
689,81,43,8624,60
690,74,39,8873,68
691,70,38,8601,53
692,76,51,8556,42
693,82,52,8631,60
694,81,39,8562,61
695,74,38,8636,56
696,73,51,8623,58
697,91,31,8564,57
698,83,42,8487,57
699,99,47,8597,55
700,89,49,8720,58
701,86,47,8838,62
702,86,44,8712,64
703,79,49,8734,60
704,59,48,8791,64
705,85,33,8612,63
706,76,52,8621,60
707,73,53,8522,50
708,82,43,8801,60
709,90,33,8703,63
710,87,43,8756,50
711,84,45,8727,63
712,83,38,8779,68
713,85,46,8606,57
714,80,38,8673,54
715,84,42,8713,56
716,73,37,8665,45
717,80,42,8498,59
718,79,55,8511,57
719,83,50,8658,51
720,92,47,8587,58
721,80,40,8680,50
722,103,38,8676,67
723,74,48,8618,49
724,94,44,8709,72
725,88,40,8544,55
726,93,46,8514,57
727,84,40,8544,56
728,84,46,8668,67
729,73,36,8567,69
730,93,50,8561,59
731,71,43,8665,63
732,100,29,8602,58
733,75,33,8502,68
734,87,51,8604,64
735,87,51,8548,59
736,98,42,8577,56
737,90,44,8750,61
738,78,48,8737,68
739,85,46,8756,48
740,68,49,8615,47
741,95,46,8634,67
