Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
7379.808,5.499713755769058,46.501,0.40905662605967313,85.478,0.5782910032885559,57.039,0.45687487417306133
Sample,ch1,ch2,ch3,ch4
1,7438,31,86,55
2,7381,55,85,62
3,7396,49,75,47
4,7310,54,92,59
5,7495,33,86,47
6,7431,41,87,59
7,7343,62,88,47
8,7339,36,80,58
9,7384,49,88,64
10,7279,43,95,69
11,7423,46,82,72
12,7373,48,87,53
13,7393,49,87,52
14,7341,52,84,45
15,7300,54,91,56
16,7331,45,63,45
17,7295,47,70,53
18,7433,46,87,56
19,7347,58,89,53
20,7355,44,74,60
21,7153,35,93,53
22,7387,50,102,61
23,7350,47,81,60
24,7393,50,80,65
25,7530,41,98,54
26,7459,40,83,56
27,7384,53,77,58
28,7402,37,86,61
29,7393,46,92,61
30,7303,45,82,51
31,7402,38,94,71
32,7562,33,81,53
33,7499,39,96,70
34,7228,58,85,56
35,7482,45,93,54
36,7405,50,87,54
37,7409,41,89,61
38,7350,38,79,58
39,7468,38,84,63
40,7496,48,84,56
41,7370,48,90,54
42,7315,40,84,67
43,7351,40,95,56
44,7366,41,84,66
45,7490,40,85,56
46,7387,39,85,65
47,7544,38,79,50
48,7378,45,86,57
49,7326,57,92,50
50,7475,41,83,67
51,7304,47,104,57
52,7540,48,93,57
53,7458,42,94,55
54,7480,42,74,57
55,7446,47,82,67
56,7361,42,95,65
57,7433,55,88,52
58,7412,45,87,46
59,7300,39,76,52
60,7364,38,87,53
61,7209,45,81,51
62,7362,38,77,49
63,7377,45,76,50
64,7323,43,78,51
65,7158,47,92,60
66,7388,51,80,50
67,7396,44,75,44
68,7367,37,83,51
69,7433,43,85,56
70,7347,47,78,53
71,7412,47,87,62
72,7552,41,85,61
73,7231,47,98,56
74,7445,42,90,58
75,7502,53,85,59
76,7445,39,83,63
77,7357,54,75,69
78,7248,41,70,53
79,7273,53,83,50
80,7435,46,68,51
81,7316,50,90,64
82,7515,46,95,54
83,7507,38,72,56
84,7358,47,83,62
85,7383,39,82,44
86,7269,50,87,51
87,7433,43,85,49
88,7513,45,82,45
89,7303,51,97,60
90,7444,52,84,62
91,7361,41,75,47
92,7435,50,97,61
93,7328,51,74,57
94,7415,49,81,55
95,7418,43,70,62
96,7294,48,83,56
97,7384,45,103,56
98,7503,51,85,69
99,7389,51,75,50
100,7392,53,91,65
101,7355,54,95,68
102,7492,43,78,55
103,7455,48,72,61
104,7366,42,82,60
105,7360,52,103,61
106,7501,43,80,53
107,7150,38,75,58
108,7323,41,83,52
109,7314,39,79,57
110,7423,50,83,62
111,7338,45,90,66
112,7291,45,96,46
113,7414,43,80,59
114,7388,52,80,68
115,7442,42,95,67
116,7493,53,72,51
117,7389,62,82,60
118,7416,52,71,56
119,7465,56,102,57
120,7449,42,93,50
121,7610,58,81,68
122,7232,40,77,62
123,7322,55,102,59
124,7351,45,87,63
125,7299,45,93,43
126,7192,47,92,59
127,7369,42,78,50
128,7326,48,88,71
129,7286,50,77,58
130,7304,33,85,68
131,7476,47,87,56
132,7266,44,83,63
133,7487,48,95,44
134,7322,41,91,51
135,7351,49,80,51
136,7269,49,74,65
137,7310,42,94,51
138,7464,58,82,44
139,7325,41,87,64
140,7475,42,72,58
141,7332,34,78,49
142,7258,46,89,62
143,7400,53,79,54
144,7172,41,92,52
145,7256,46,104,56
146,7306,49,87,61
147,7432,50,93,51
148,7288,42,85,65
149,7292,42,99,71
150,7261,49,107,56
151,7358,43,94,61
152,7399,41,80,69
153,7315,40,70,49
154,7260,49,85,51
155,7165,40,96,55
156,7304,41,76,57
157,7314,45,92,64
158,7274,41,83,51
159,7425,49,96,77
160,7429,43,81,54
161,7347,45,71,51
162,7369,40,79,44
163,7363,43,91,64
164,7438,46,88,61
165,7458,50,102,54
166,7225,47,82,63
167,7531,49,74,62
168,7394,46,87,65
169,7304,39,85,56
170,7288,44,73,59
171,7376,41,86,54
172,7189,46,86,64
173,7395,56,100,59
174,7338,43,74,60
175,7247,32,84,53
176,7328,38,79,50
177,7466,54,81,68
178,7312,48,93,56
179,7363,51,81,46
180,7231,42,83,64
181,7277,46,87,44
182,7298,42,91,51
183,7290,43,88,58
184,7489,49,83,71
185,7410,41,84,50
186,7503,54,95,51
187,7479,50,103,58
188,7293,43,90,61
189,7338,43,78,56
190,7469,45,82,41
191,7449,53,96,59
