Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
4016.441,4.078620995535773,4050.754,4.157453349630558,85.373,0.590345654673592,56.605,0.4513974519862287,276.164,1.038635248380864
Sample,ch1,ch2,ch3,ch4,coinc12
217,3997,4032,80,50,264
218,4063,4103,88,52,267
219,3997,4076,74,54,287
220,4111,4104,86,58,283
221,4001,4060,83,58,280
222,4057,4159,65,60,282
223,3949,4067,79,61,269
224,3999,4049,89,54,297
225,4060,4057,78,49,244
226,3951,3981,93,64,243
227,4010,4155,79,43,280
228,4022,4089,92,50,280
229,3954,4003,85,60,265
230,4137,4011,82,59,309
231,4018,3995,79,56,232
232,4071,3994,82,55,260
233,4001,4090,94,57,266
234,3972,3929,89,63,284
235,4109,4089,91,71,265
236,3961,3988,92,63,254
237,4058,4008,89,61,253
238,4024,4061,78,62,280
239,4128,4100,72,51,303
240,4046,4003,99,54,269
241,4075,4065,93,62,267
242,4015,4097,93,60,270
243,3994,4138,101,59,234
244,3972,4036,79,54,286
245,4074,3931,86,53,265
246,4004,4033,88,61,273
247,4019,3973,88,48,269
248,4037,4094,89,49,271
249,4012,4065,102,63,272
250,4053,4055,86,64,278
251,4019,4033,85,63,254
252,3964,3928,77,50,270
253,4088,4073,73,52,279
254,4149,3994,74,65,268
255,3988,4163,89,60,285
256,4016,3963,85,66,277
257,4029,4042,93,68,280
258,4085,4024,87,54,311
259,3981,4188,103,57,310
260,4026,4075,94,52,268
261,4031,4157,79,57,264
262,4043,4078,80,61,270
263,4019,4050,101,64,242
264,4147,4017,70,59,264
265,4078,4034,83,54,274
266,4035,4106,85,56,264
267,4092,4111,93,54,276
268,4051,4096,99,61,284
269,4016,4030,75,58,277
270,4098,4155,76,58,327
271,4098,4138,92,46,265
272,4207,4044,95,51,269
273,3951,4098,78,64,258
274,3958,4061,84,59,259
275,4038,4098,93,62,275
276,4014,4057,68,47,282
277,4130,4215,84,46,314
278,3976,4046,79,57,266
279,4124,4126,93,64,264
280,4025,4050,82,61,274
281,4080,3954,86,61,282
282,4033,4088,83,62,297
283,4041,4067,92,58,286
284,3954,4118,90,58,281
285,4045,4066,84,49,262
286,3968,3915,92,59,265
287,4017,4082,99,44,283
288,4140,4092,77,56,258
289,3992,3973,91,56,269
290,3973,4035,88,50,260
291,3988,4188,89,44,286
292,4043,4104,98,55,291
293,3989,4077,90,41,249
294,3906,4100,99,57,303
295,4090,4006,86,57,283
296,3942,4084,82,61,272
297,3899,4050,98,68,244
298,4100,4008,76,62,277
299,4082,4080,90,70,279
300,4041,4151,87,61,286
301,4119,4110,75,53,266
302,4080,4057,86,55,271
303,3998,4013,93,59,292
304,3975,4004,93,55,245
305,3967,4086,79,46,269
306,4083,4047,100,60,248
307,4068,4132,60,50,273
308,4022,4014,74,51,265
309,4097,4074,82,58,299
310,3928,4049,83,50,276
311,4047,3995,69,60,274
312,3964,4123,98,56,266
313,4026,4154,88,66,295
314,3906,4110,96,47,270
315,4030,4003,84,49,285
316,4053,4193,82,47,292
317,4092,3994,102,55,262
