Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3991.624,3.9777099784515046,3933.72,3.9285590202994247,84.774,0.5706779909628277,57.119,0.4681436900295832,289.731,1.093067863105193
Sample,ch1,ch2,ch3,ch4,coinc12
217,3874,3917,75,66,312
218,3894,4045,101,62,286
219,3930,3933,91,65,304
220,4029,4128,88,68,283
221,3985,3862,82,79,285
222,3990,3957,107,49,283
223,3905,3829,75,48,269
224,3984,4004,71,48,300
225,4001,3994,82,49,333
226,3941,3959,72,70,275
227,3939,3888,92,45,290
228,3937,3820,95,59,269
229,3966,3908,91,46,296
230,3996,3861,97,62,292
231,3855,4011,74,54,276
232,3956,3821,82,63,283
233,4001,3891,81,52,281
234,4089,3985,76,54,283
235,3874,3971,81,56,286
236,3964,3951,80,60,319
237,4068,3880,81,52,296
238,4008,3946,67,45,273
239,3999,3981,85,55,299
240,4039,3956,77,55,308
241,3943,3948,70,60,304
242,3903,3836,84,60,270
243,3870,3909,88,38,272
244,3998,3856,97,58,278
245,3920,3848,83,60,309
246,3989,3917,75,70,289
247,4068,3946,91,53,306
248,3943,3935,86,69,294
249,4114,3897,71,57,272
250,4017,3834,82,64,285
251,3921,3910,88,48,260
252,3994,3934,84,53,314
253,4031,3899,88,55,281
254,3920,3919,100,63,280
255,4017,3919,69,58,292
256,3997,3908,75,56,305
257,4036,3974,72,59,278
258,3857,3877,99,58,255
259,3980,3951,87,73,287
260,3988,3940,90,60,278
261,4095,3959,98,51,314
262,4012,3879,91,58,262
263,4037,3987,79,55,295
264,4081,3995,86,62,310
265,3934,3962,74,55,278
266,4010,3972,78,60,300
267,3982,3891,80,57,272
268,3883,3922,76,49,242
269,3975,3813,90,56,296
270,3923,3933,73,44,304
271,3948,3882,77,68,306
272,4073,3976,79,61,275
273,4039,3933,81,74,281
274,3906,3872,76,50,266
275,3947,3978,102,66,295
276,3940,4007,81,67,287
277,4016,4063,86,53,288
278,4031,3919,76,54,282
279,3991,3919,101,57,277
280,3997,3933,84,62,290
281,4057,4023,91,65,288
282,4005,3969,70,67,309
283,4081,3849,79,67,291
284,3902,3941,92,50,271
285,3938,3993,83,49,283
286,3994,3868,92,64,263
287,4016,3941,83,61,286
288,3984,3956,90,59,274
289,4049,3881,72,48,304
290,4005,3978,81,63,284
291,3955,3949,80,53,314
292,4032,3902,95,69,279
293,4060,3974,72,52,305
294,4122,3934,101,59,295
295,3975,3829,81,37,261
296,4079,3880,68,47,267
297,4039,3857,90,49,289
298,4059,3962,80,51,273
299,3887,3852,71,60,258
300,3957,3908,79,58,301
301,4052,4091,74,55,280
302,3999,3907,86,53,266
303,4039,3806,80,55,305
304,3868,4007,90,55,262
305,3936,3894,76,50,272
306,3987,3899,91,57,297
307,3986,3856,86,56,329
308,3896,3957,77,63,279
309,3925,3920,91,59,265
310,3921,3912,83,60,285
311,3894,3983,86,48,291
312,3920,3951,90,46,280
313,4101,4016,75,55,314
314,4062,4024,82,65,321
315,4085,3826,103,68,301
316,3982,3981,87,54,299
317,3957,3988,94,57,293
318,3936,4001,101,56,288
319,3891,3945,77,66,292
320,4018,3916,86,47,307
321,3944,3954,96,45,329
322,4019,3942,93,50,276
323,3975,3850,75,65,277
324,4055,3894,94,51,333
325,4002,3993,76,56,295
326,4083,4127,80,44,315
327,4067,4032,93,56,318
328,4017,3918,79,67,293
329,3986,3912,86,48,273
330,3956,3880,93,56,303
331,3929,3918,92,71,271
332,4014,3906,91,47,304
333,3992,3907,91,70,307
334,4089,3969,86,63,296
335,4029,4002,98,46,315
336,3995,3960,95,50,284
337,4003,3987,78,53,301
338,3968,4001,111,53,305
339,4031,3906,88,61,291
340,4008,3943,83,59,271
341,4054,3998,81,69,323
342,4067,3969,79,63,274
343,4068,3938,100,54,285
344,4080,3851,89,62,282
345,3934,4033,76,62,300
346,3956,3869,85,66,315
347,4052,3954,85,58,323
348,3996,3898,65,41,297
349,4000,3844,71,59,291
350,3932,3933,94,64,273
351,3948,3921,78,62,311
352,4047,4042,87,52,300
353,4001,3828,103,68,272
354,4056,3955,79,50,274
355,4067,3836,93,60,313
356,3992,3988,95,53,267
357,4019,3862,97,53,300
358,3986,3916,72,42,308
359,3961,3861,105,60,253
360,3927,4017,95,65,259
361,4007,3945,79,69,286
362,3995,4081,95,44,291
363,4037,4011,85,68,336
364,4060,3959,76,66,315
365,3930,3863,96,51,304
366,4040,3970,91,44,280
367,3986,3929,102,47,285
368,3908,3995,92,69,328
369,3931,3876,76,51,280
370,3888,3838,85,60,272
371,3997,3987,101,60,281
372,3931,3895,75,54,283
