Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3999.804,4.059582065008976,4086.029,4.072731242762745,85.2,0.5531527618822651,57.121,0.4541890836686013,12.993,0.23813549192111727
Sample,ch1,ch2,ch3,ch4,coinc12
217,3965,4025,89,57,9
218,3997,4000,86,61,16
219,4033,4132,85,53,11
220,4036,4052,85,48,13
221,4003,4008,88,54,17
222,4041,4170,95,53,17
223,3980,4109,67,55,8
224,4032,4243,84,55,19
225,4084,4163,95,72,23
226,3930,4055,80,56,10
227,4021,4040,68,52,16
228,3985,4079,85,59,12
229,3947,4055,107,52,12
230,4076,4103,74,65,21
231,3877,4153,79,50,15
232,3932,4150,91,59,7
233,3919,4068,83,48,13
234,4002,4112,78,49,11
235,3945,4039,76,60,16
236,3949,4052,96,64,14
237,3982,4132,81,57,15
238,3950,4108,75,65,11
239,4072,3972,80,61,5
240,3915,3944,99,56,17
241,3927,4015,90,53,7
242,3955,4069,100,53,12
243,4138,4095,81,55,18
244,3839,4114,93,49,13
245,4001,4043,89,62,21
246,3970,4086,79,52,10
247,4025,4222,79,68,14
248,3869,3939,98,50,15
249,4046,4152,82,59,11
250,3864,3939,78,58,12
251,4019,4144,80,54,15
252,4024,4150,80,54,10
253,3995,4125,82,61,17
254,4009,3993,84,57,9
255,4048,4034,86,52,11
256,4072,4080,100,56,11
257,3859,4113,84,43,12
258,4028,4113,82,52,10
259,3932,4117,90,58,9
260,3954,4098,80,52,8
261,4037,4094,90,53,12
262,3893,4151,70,50,4
263,4061,4245,79,59,7
264,4031,4043,86,65,11
265,4091,4048,75,60,8
266,4065,3989,85,54,9
267,4060,4123,84,55,8
268,3972,4120,88,44,16
269,4082,4201,90,59,12
270,3931,4055,86,67,14
271,4013,4118,84,63,13
272,3988,4025,73,65,7
273,3898,4036,100,63,14
274,3927,4058,95,63,10
275,3975,3993,83,50,10
276,4048,4067,85,60,5
277,4185,4147,90,55,5
278,3947,4265,82,51,13
279,3895,3983,96,57,8
280,4036,4052,81,60,12
281,3968,4040,85,55,21
282,3993,4149,83,54,6
283,3930,4075,83,46,13
284,3950,4030,83,54,11
285,3936,4194,88,54,19
286,3977,4157,80,57,17
287,4013,4016,89,50,12
288,3929,4117,87,67,12
289,3886,4197,91,62,12
290,3948,4180,86,57,10
291,4101,4105,96,55,14
292,4084,4041,71,58,7
293,4040,4035,98,59,16
294,3973,4117,89,73,10
295,3962,3931,86,52,5
296,3979,4131,91,57,16
297,4005,4118,87,64,12
298,4061,4184,88,59,18
299,4061,4072,85,59,18
300,4009,4127,91,50,8
301,4149,4125,84,67,12
302,4061,4090,84,59,13
303,3956,4151,82,56,11
304,4016,4282,82,61,10
305,3944,4042,88,59,12
306,3955,4053,90,55,9
307,3773,4148,79,61,12
308,3990,4184,72,54,9
309,4060,4025,80,53,12
310,4083,4082,87,69,13
311,3952,4099,72,75,9
312,4081,4168,96,60,16
313,3983,4053,98,52,21
314,3948,4103,98,61,13
315,4075,4078,81,64,16
316,4005,3978,81,46,16
317,4057,4193,82,65,9
318,4025,4128,69,58,11
319,4038,3922,91,53,7
320,3905,4143,86,54,14
321,4058,4130,90,60,15
322,4018,4014,82,69,22
323,4083,4147,85,55,18
324,4056,3958,93,54,16
325,3945,4049,82,66,11
326,4098,4153,81,52,9
327,3886,4127,88,62,13
328,4040,4075,59,51,18
329,4005,4051,98,51,15
330,4041,4061,69,61,14
331,4037,4098,89,55,8
332,4057,4164,96,57,9
333,4065,4036,101,47,17
334,4033,4095,94,52,7
335,4077,4150,79,48,15
336,3986,4153,85,62,23
337,3970,4240,80,64,7
338,3923,3996,83,52,9
339,3944,4112,94,60,11
340,4016,4016,80,66,11
341,3986,4050,69,49,24
342,3988,3998,85,67,19
343,3879,4043,91,55,15
344,3984,4091,94,54,16
345,4067,4134,72,65,15
346,4059,4211,73,69,15
347,3915,4113,94,68,10
348,4005,4034,78,59,16
349,4072,4138,75,47,10
350,3977,4027,85,50,12
351,3995,4113,73,52,11
352,4035,4118,82,51,11
353,3961,4074,77,60,16
354,4054,4120,105,48,13
355,3921,4017,89,49,16
356,3994,4028,78,55,9
357,4054,3917,86,56,14
358,3958,4062,88,52,10
359,4053,4087,99,53,9
360,3941,4042,73,51,17
361,4029,4059,95,57,9
362,4055,4036,81,53,14
363,3936,4129,82,62,8
364,3983,3985,71,50,14
365,4053,4038,70,48,13
366,4067,4092,90,56,14
367,3922,3964,84,56,14
368,4070,4130,80,52,15
369,3933,4014,96,54,19
370,4036,4003,84,51,7
371,3963,4039,75,50,9
372,3957,4139,75,61,6
373,4012,4139,66,44,11
374,4037,4107,81,58,9
375,3979,4128,75,53,8
376,3901,4015,91,53,14
377,4014,4066,89,57,19
378,4038,4041,87,54,20
379,4030,4030,83,59,13
380,4017,4022,85,58,12
381,4073,4057,74,53,13
382,4027,4034,98,60,12
383,4041,4102,92,63,11
384,4080,4060,75,58,15
385,3849,3947,85,50,11
386,3984,4041,100,62,19
387,4028,4090,94,62,6
388,4029,3991,90,53,11
389,4056,4166,92,63,10
390,3895,4082,76,60,19
391,4055,4064,81,53,17
392,4104,4080,84,57,12
393,4001,4019,104,52,14
394,3981,4007,86,81,17
395,3962,4010,70,50,9
396,3978,3924,85,51,18
397,4071,4109,75,63,18
398,4040,4059,89,63,19
399,3929,4004,78,56,18
400,3969,4054,92,56,15
401,4040,4018,92,72,5
402,4043,4128,88,64,20
403,4059,4032,86,55,5
404,4094,4038,91,50,15
405,3935,4037,71,56,10
406,4040,4024,85,56,20
407,4012,4129,98,63,7
408,3972,4131,75,47,17
409,4088,4048,83,48,8
410,3947,4086,73,53,15
411,3909,4132,82,67,14
412,3896,4029,102,53,12
413,4038,4126,78,58,8
414,3916,4062,85,62,8
415,4030,4118,88,63,10
416,3963,4029,89,70,10
417,4064,4042,94,51,13
418,4022,4118,92,65,19
419,4038,4049,81,61,13
420,3965,4060,86,52,7
421,3979,4013,77,60,9
422,4012,4097,85,53,14
423,3886,4160,100,48,13
424,4076,4016,83,69,18
425,3878,4013,91,69,5
426,3995,4022,86,59,14
427,3961,4030,83,74,10
428,3977,4055,84,51,10
429,3974,4100,89,61,9
430,4009,4222,65,61,16
431,3928,4075,101,65,7
432,3901,4079,80,70,18
433,4097,4186,81,49,10
434,3878,4007,82,50,10
435,3952,4034,80,61,15
436,3953,4080,95,63,17
437,4055,4043,89,60,19
438,3917,4062,106,65,18
