Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.776,0.5779804126069994,9109.282,6.121469291786922,84.852,0.5482088260115089,56.394,0.47614889874258215
Sample,ch1,ch2,ch3,ch4
1,85,9083,96,61
2,78,9149,90,58
3,75,8955,84,53
4,73,9184,93,63
5,66,9362,92,59
6,71,9133,84,65
7,74,9039,78,60
8,79,9053,84,76
9,80,9078,77,51
10,79,9072,91,58
11,79,9288,91,53
12,86,8963,67,67
13,87,8969,83,58
14,76,9215,99,64
15,83,8971,83,55
16,84,9395,79,70
17,96,9182,70,51
18,73,9044,87,56
19,94,9319,75,57
20,79,9061,105,56
21,75,9040,79,69
22,81,9057,81,47
23,62,9252,81,68
24,72,9028,79,48
25,74,9206,102,75
26,83,9021,75,51
27,87,9131,86,56
28,77,9195,81,52
29,62,9034,81,64
30,82,8724,74,50
31,75,9047,95,61
32,86,9128,91,81
33,86,9129,79,56
34,87,9320,81,50
35,86,9141,77,53
36,94,9122,86,48
37,87,9017,96,61
38,84,9238,91,65
39,83,9079,73,50
40,75,9023,86,54
41,84,9152,90,63
42,96,9053,95,60
43,76,9073,82,67
44,99,9031,75,56
45,70,9184,90,62
46,89,8874,88,70
47,100,9231,88,54
48,79,8976,92,61
49,105,9043,93,45
50,85,9149,83,61
51,81,9092,93,57
52,72,9207,90,58
53,94,9151,89,44
54,92,9113,89,60
55,84,8947,87,65
56,82,9054,74,52
57,70,9158,78,44
58,84,9010,99,55
59,92,9083,94,50
60,91,9226,75,60
61,94,9130,104,66
62,90,9017,80,70
63,83,8943,86,56
64,73,9086,85,64
65,75,9086,87,56
66,77,9087,87,44
67,116,9069,75,47
68,91,9159,83,73
69,85,9239,94,53
70,86,9051,93,58
71,85,9158,78,60
72,85,9135,90,56
73,87,9050,89,50
74,80,9248,105,65
75,79,9123,79,56
76,79,9053,84,48
77,92,9111,66,68
78,69,9043,87,60
79,78,9043,61,53
80,87,8964,73,61
81,80,9248,84,57
82,87,9134,65,52
83,88,9211,85,64
84,87,9134,74,71
85,80,9234,85,51
86,91,9157,89,51
87,82,8984,97,50
88,87,8914,94,48
89,64,9112,90,47
90,83,9296,92,57
91,96,9152,87,54
92,73,8895,100,53
93,76,8992,81,63
94,69,9144,85,50
95,68,9132,99,56
96,81,9105,81,56
97,75,9122,70,60
98,78,9157,93,60
99,80,9038,87,53
100,88,9098,85,52
101,93,8993,75,53
102,90,9038,95,76
103,84,8950,80,62
104,90,9057,95,56
105,67,9197,88,63
106,80,9007,78,56
107,88,9125,68,62
108,85,9135,81,49
109,89,9268,101,48
110,82,9270,84,52
111,80,8982,87,57
112,87,9295,76,52
113,84,9007,82,44
114,88,9040,100,55
115,69,9149,86,44
116,84,8990,89,49
117,69,9094,77,66
118,85,9048,82,55
119,81,8977,93,50
120,67,9126,85,48
121,87,8986,101,49
122,88,9015,80,60
123,76,9189,91,69
124,79,9170,80,67
125,99,9038,91,63
126,77,9037,89,57
127,97,9119,76,59
128,88,9050,80,72
129,73,9009,81,55
130,83,8943,84,61
131,81,9135,86,58
132,76,9089,93,48
133,87,9072,82,61
134,80,8873,104,50
135,85,9241,83,72
136,90,9053,79,50
137,87,9030,91,60
138,74,9177,79,44
139,94,9158,87,57
140,78,9070,84,55
141,80,9088,64,40
142,94,8839,86,56
143,97,9089,83,55
144,70,8961,88,55
145,81,9095,75,50
146,78,9132,86,47
147,84,9067,77,50
148,90,9030,87,51
149,98,9088,79,60
150,73,9013,80,57
151,69,9257,91,57
152,89,8820,84,51
153,92,9058,92,58
154,87,9193,88,52
155,74,9008,71,56
156,75,8864,84,38
157,69,8924,72,56
158,71,9167,86,69
159,72,9019,85,67
160,91,9015,85,63
161,91,9078,77,65
162,85,9012,59,47
163,81,9185,96,59
164,106,9190,101,53
165,95,9126,98,59
166,87,9101,88,51
167,78,9193,85,51
168,91,8956,69,46
169,87,9124,83,68
170,94,9027,76,46
171,91,9208,91,49
172,85,9133,74,57
173,77,9224,90,34
174,70,9078,73,48
175,91,8979,62,55
176,86,8927,91,65
177,92,9165,92,53
178,90,9141,78,72
179,100,8965,79,66
180,77,9073,71,52
181,89,9076,82,59
182,83,9017,103,54
183,86,9077,99,45
184,83,9109,94,53
185,92,9185,85,59
186,90,8841,95,66
187,88,9007,89,70
188,94,9015,71,57
189,101,9158,74,47
190,79,9345,97,59
191,66,8854,75,54
192,99,9097,90,51
193,92,9188,101,48
194,83,9100,95,57
195,80,9078,85,58
196,90,9066,96,56
197,81,8956,86,46
198,90,9109,83,54
199,71,9139,77,62
200,83,9095,72,64
201,72,9080,82,54
202,82,9078,85,55
203,89,9201,91,59
204,89,9042,101,66
205,71,9167,85,51
206,83,9115,83,65
207,99,9049,91,60
208,83,9075,77,60
209,69,8989,94,53
210,84,8987,91,60
211,88,9090,101,47
212,80,9083,83,56
213,75,9089,80,52
214,96,9054,90,51
215,91,9028,92,65
216,101,9020,81,59
217,94,8982,89,51
218,74,8918,94,55
219,90,8952,93,67
220,97,9118,69,59
221,89,9208,80,47
222,80,8964,85,56
223,95,9086,90,66
224,84,9072,88,62
225,65,9033,83,57
226,93,9031,71,58
227,69,9178,82,59
228,95,9094,101,50
229,68,9114,77,55
230,88,9007,84,51
231,84,8996,86,48
232,89,9140,74,56
233,68,9178,85,59
234,69,9054,73,56
235,84,9023,67,68
236,74,9058,87,64
237,95,9046,83,61
238,81,9140,85,59
239,99,9036,81,41
240,93,9031,87,54
241,72,9114,87,52
242,99,9015,78,72
243,81,9002,77,46
244,85,9030,89,55
245,68,9138,79,56
246,78,9062,93,58
247,75,9028,76,60
248,86,9030,65,51
249,81,9080,89,47
250,83,9096,88,65
251,80,9065,82,71
252,96,9099,86,51
253,93,9116,59,66
254,86,9090,90,63
255,86,9061,83,57
256,74,9059,83,57
257,83,8961,107,69
258,90,9159,92,39
259,73,9088,95,55
260,72,9205,78,54
261,76,9069,74,59
262,77,9206,101,49
263,81,8989,66,41
264,77,8937,77,59
265,73,9180,78,52
266,78,9119,99,58
267,95,9236,83,46
268,92,8955,89,79
269,90,9323,87,53
270,72,9026,87,54
271,89,9176,62,59
272,87,8976,85,48
273,75,9170,77,62
274,72,9055,88,49
275,95,9044,74,61
276,85,9071,82,51
277,93,9141,75,51
278,82,9088,78,47
279,75,9223,89,54
280,85,9022,93,69
281,79,9050,84,62
282,97,9180,83,52
283,100,9130,73,67
284,81,9139,87,58
285,86,9187,88,55
286,86,9145,86,58
287,86,9044,74,60
288,94,8940,91,62
289,90,9214,89,46
290,77,9059,96,61
291,82,9218,73,53
292,88,9164,89,49
293,81,9132,88,70
294,92,9077,82,71
295,79,9254,89,57
296,98,9092,81,49
297,65,9093,87,66
298,75,9038,72,66
299,75,9076,84,58
300,82,9111,78,47
301,89,9106,82,46
302,74,9121,89,55
303,83,9285,86,53
304,89,9213,70,58
305,96,9207,91,64
306,80,9198,97,63
307,90,9115,84,47
308,90,9082,91,57
309,82,9104,69,52
310,84,9084,84,45
311,84,9204,80,38
312,85,9155,74,52
313,99,9104,85,58
314,91,8896,87,60
315,93,9197,72,53
316,82,9215,86,47
317,79,9127,78,72
318,76,9170,76,60
319,90,9102,98,50
320,79,9248,83,59
321,94,9088,101,58
322,81,9150,94,54
323,76,9148,85,57
324,81,9017,87,43
325,76,9047,101,59
326,81,9061,95,67
327,85,9147,100,52
328,84,9198,80,48
329,84,9155,83,47
330,75,9049,92,71
331,90,9081,88,68
332,94,9248,72,60
333,80,9135,88,60
334,87,9119,100,55
335,71,9058,88,60
336,71,9156,101,67
337,80,9210,87,68
338,88,9230,79,49
339,96,9088,100,63
340,87,9230,81,67
341,86,9117,77,61
342,78,9167,79,62
343,105,9216,86,55
344,97,9113,75,59
345,86,9125,78,72
346,93,9120,73,61
347,82,9228,82,40
348,75,9114,75,44
349,81,9161,88,56
350,81,9086,77,59
351,73,9111,88,81
352,78,9101,88,63
353,69,9170,84,55
354,94,8990,86,62
355,81,9184,80,54
356,74,9054,68,61
357,81,9240,92,57
358,73,9068,88,51
359,72,9082,86,53
360,79,9169,82,63
361,78,9097,86,60
362,75,9249,91,56
363,88,9209,74,57
364,95,9073,69,58
365,91,9156,84,64
366,77,9032,86,54
367,91,9163,74,45
368,90,9144,81,55
369,92,9098,91,48
370,74,9136,85,51
371,70,9368,80,58
372,85,9264,81,61
373,88,9137,73,62
374,80,8897,78,38
375,81,9042,82,53
376,87,9214,97,52
377,98,8957,90,47
378,82,9219,82,63
379,83,9126,84,51
380,91,9266,93,56
381,91,9052,88,63
382,92,9031,85,61
383,81,9244,78,47
384,83,9117,81,43
385,59,9203,76,46
386,75,9109,93,53
387,88,9206,94,58
388,85,9169,90,49
389,90,9083,86,46
390,101,9325,68,54
391,93,9196,81,71
392,86,9004,62,61
393,79,9158,100,45
394,91,9201,84,50
395,76,9079,91,59
396,82,9305,72,64
397,81,8958,82,65
398,89,9152,82,56
399,83,9053,76,47
400,94,9148,81,65
401,70,9004,68,43
402,94,8944,86,56
403,83,8992,81,56
404,82,9087,95,62
405,83,9174,68,49
406,66,9065,82,64
407,88,9241,96,52
408,97,9049,87,54
409,111,9215,90,64
410,69,9263,105,47
411,81,9074,98,51
412,85,9141,95,64
413,92,9091,87,55
414,84,9139,82,60
415,79,9090,75,54
416,78,8880,77,44
417,94,9101,79,63
418,95,9117,85,55
419,86,9249,83,68
420,83,9079,90,57
421,79,9009,87,53
422,71,9039,89,49
423,80,9195,88,61
424,90,9209,95,50
425,86,9257,92,52
426,92,9065,92,42
427,89,9051,80,47
428,79,9145,97,45
429,76,9200,93,80
430,79,9070,89,63
431,73,9097,88,60
432,90,9005,85,57
433,86,9052,92,70
434,68,9037,91,51
435,81,9167,80,61
436,74,9016,79,56
437,81,8942,84,48
438,74,9065,91,60
439,81,8925,84,62
440,66,9097,85,57
441,80,9048,101,58
442,65,9087,79,55
443,87,9226,90,55
444,86,9221,95,60
445,70,9091,89,59
446,84,9134,91,52
447,101,9136,83,67
448,96,8999,83,66
449,78,8957,77,55
450,88,9069,85,43
451,72,9271,80,48
452,92,9044,79,55
453,69,9172,86,54
454,62,9108,88,63
455,94,9326,86,53
456,77,8995,93,54
457,68,9144,79,58
458,90,9199,95,59
459,102,9004,82,59
460,79,9064,84,59
461,84,9193,87,67
462,86,8964,78,49
463,76,9073,82,53
464,90,9112,80,56
465,67,9253,88,55
466,98,9111,80,67
467,88,9034,86,55
468,87,9062,76,46
469,96,8972,74,59
470,81,9235,80,48
471,78,9295,81,59
472,90,9058,79,61
473,84,9087,74,42
474,108,8927,97,46
475,70,9246,96,61
476,95,9253,79,47
477,69,9265,89,53
478,90,9271,76,62
479,86,9091,79,51
480,89,9129,85,50
481,93,9214,76,53
482,93,9109,90,54
483,67,9135,82,67
484,84,9140,88,62
485,72,9060,86,72
486,105,9241,90,47
487,92,9057,92,43
488,92,9023,77,60
489,76,9187,63,50
490,73,9165,89,65
491,91,9157,80,59
492,82,9282,72,54
493,99,9037,92,63
494,85,9181,66,65
495,95,9255,92,65
496,81,9170,87,59
497,81,9051,78,65
498,105,9196,72,64
499,96,9122,81,47
500,77,9235,74,50
501,87,9175,97,61
502,89,9062,87,50
503,87,9164,96,43
504,71,8946,67,56
505,94,9157,82,58
506,89,9192,76,58
507,85,9149,93,54
508,91,9372,91,72
509,81,9066,86,64
510,68,8922,98,40
511,64,9117,76,57
512,100,9062,77,49
513,72,9150,92,63
514,87,8995,75,74
515,93,9115,82,49
516,90,8948,93,56
517,79,9252,77,66
518,97,8948,98,65
519,91,9161,97,55
520,73,9061,94,52
521,82,9145,75,56
522,85,9135,80,56
523,92,9112,78,56
524,75,9116,90,33
525,88,9137,85,46
526,95,9097,91,49
527,71,9191,81,53
528,76,9096,96,67
529,88,9335,78,61
530,79,9029,90,65
531,94,9179,96,57
532,80,9142,82,62
533,63,9068,91,72
534,85,9252,91,61
535,86,9112,77,70
536,85,9144,81,59
537,74,9133,78,52
538,77,9093,68,60
539,62,9191,77,57
540,88,9072,85,60
541,77,9186,73,66
542,94,9252,71,52
543,84,9055,78,61
544,92,9130,80,64
545,75,9228,93,65
546,83,9223,74,48
547,86,9161,77,55
548,79,9117,84,59
549,92,9132,82,51
550,87,9106,83,56
551,78,9021,85,63
552,71,9043,101,59
553,77,8915,82,73
554,84,9077,95,56
555,105,9015,94,60
556,99,9070,83,49
557,81,9251,92,60
558,82,9073,92,56
559,96,9102,75,61
560,102,9137,89,74
561,90,9318,90,56
562,87,9246,98,57
563,76,8986,96,55
564,92,9030,75,59
565,92,9199,73,50
566,84,8922,83,59
567,76,9206,94,60
568,83,9174,93,63
569,83,9070,86,62
570,99,9122,78,52
571,65,9036,73,56
572,83,9086,77,58
573,82,9320,90,59
574,92,9290,79,43
575,107,9233,74,62
576,75,9148,99,59
577,94,8968,81,64
578,89,9024,85,60
579,100,9121,88,60
580,88,9091,89,62
581,71,9259,83,74
582,90,9124,94,56
583,96,9032,70,57
584,76,9162,71,45
585,77,9124,83,48
586,90,9133,88,64
587,76,9128,80,47
588,76,9104,83,44
589,92,9126,74,65
590,77,9303,91,57
591,99,8962,84,52
592,81,9064,82,53
593,96,9152,75,53
594,96,9128,79,59
595,94,9242,99,57
596,100,9054,90,53
597,86,9002,71,54
598,77,8986,98,47
599,73,9054,86,59
600,86,9181,75,59
601,74,9042,66,67
602,70,8993,86,61
603,85,9021,71,67
604,74,9185,84,37
605,83,9207,85,46
606,70,9006,82,60
607,89,9107,86,65
608,80,9130,73,54
609,86,9093,88,57
610,76,9143,86,51
611,73,9194,90,53
612,91,9183,99,72
613,93,9259,86,60
614,81,9186,80,51
615,87,9055,74,65
616,96,9056,97,42
617,72,8982,83,55
618,81,8888,78,61
619,88,9070,95,70
620,71,8906,100,61
621,66,9203,82,56
622,88,9136,76,57
623,96,9501,102,44
624,76,8947,95,57
625,102,9148,83,58
626,94,9090,90,61
627,87,9237,86,40
628,83,9097,86,62
629,92,9117,81,62
630,73,9093,85,55
631,76,9044,76,68
632,70,9176,100,70
633,88,9084,85,49
634,88,8960,92,61
635,74,9105,87,50
636,74,9210,85,46
637,92,8994,77,52
638,79,8951,95,69
639,93,9190,92,51
640,78,9086,93,52
641,78,9078,77,65
642,84,9205,90,58
643,84,9066,89,52
644,88,9104,73,61
645,79,9223,89,59
646,87,9110,89,53
647,96,9010,69,63
648,73,9153,74,55
649,90,9024,90,57
650,89,9024,91,64
651,76,9162,80,62
652,90,9111,103,67
653,110,9020,84,65
654,93,9124,81,57
655,105,9154,87,65
656,82,9064,65,54
657,82,9051,103,51
658,86,9197,86,73
659,54,9040,93,61
660,88,8995,86,63
661,93,9157,86,50
662,84,9281,90,48
663,79,9236,92,62
664,91,9161,83,73
665,88,9085,80,55
666,74,9145,87,44
667,102,8953,82,57
668,106,9238,80,75
669,78,9049,84,70
670,93,9199,80,63
671,91,9080,87,58
672,83,8979,82,58
673,91,9120,73,53
674,72,8932,88,54
675,74,9128,101,61
676,86,9257,81,58
677,85,9123,86,50
678,82,9197,98,61
679,88,9036,88,59
680,92,9097,87,52
681,87,9096,95,58
682,88,8990,82,59
683,83,9179,73,46
684,92,9093,92,59
685,82,9012,82,63
686,83,9227,77,57
687,79,9134,89,60
688,96,8832,91,51
689,83,9098,75,67
690,96,9236,88,54
691,73,8940,80,35
692,82,9170,71,56
693,81,9007,92,55
694,79,9240,96,63
695,87,9125,81,63
696,95,9028,62,66
697,96,9148,89,57
698,72,9149,82,55
699,61,9014,70,56
700,87,9049,77,57
701,91,9166,77,53
702,94,9112,90,60
703,67,9152,109,53
704,88,9117,70,54
705,84,9088,81,61
706,85,9075,85,59
707,88,9287,81,66
708,76,9136,87,60
709,75,9315,80,56
710,90,9327,85,42
711,99,9077,75,66
712,83,9209,83,60
713,87,9210,90,61
714,89,9084,70,48
715,98,9054,107,60
716,88,9057,86,58
717,83,9228,92,49
718,97,8990,87,62
719,73,9155,89,61
720,72,9080,96,52
721,74,9164,83,62
722,81,9102,82,62
723,87,9150,71,50
724,85,9100,94,66
725,95,9101,93,60
726,84,9289,80,47
727,88,9020,79,53
728,70,9097,83,66
729,87,9298,91,50
730,104,9177,76,44
731,73,9082,80,56
732,91,9129,73,52
733,80,9070,81,52
734,94,8756,73,50
735,61,9075,76,56
736,82,9116,82,53
737,76,9172,89,63
738,76,8978,83,55
739,66,9217,83,56
740,87,9068,92,52
741,94,9229,85,50
742,86,9197,94,59
