Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.157,0.5631612154210858,45.929,0.4145210050934255,83.928,0.5917443919678711,56.223,0.45695283114331386
Sample,ch1,ch2,ch3,ch4
307,80,46,76,54
308,84,43,73,67
309,79,38,86,55
310,77,60,87,60
311,70,50,70,70
312,96,47,81,51
313,67,61,72,48
314,84,49,83,61
315,81,45,83,62
316,86,58,85,66
317,67,43,88,63
318,95,42,86,53
319,85,54,84,56
320,83,40,76,49
321,87,54,101,51
322,94,45,82,58
323,83,44,68,65
324,86,37,61,66
325,88,47,84,49
326,80,47,79,58
327,71,52,70,57
328,76,59,66,46
329,89,48,82,45
330,75,53,86,56
331,78,50,101,44
332,77,48,80,54
333,78,44,88,50
334,84,35,94,62
335,71,37,74,63
336,94,65,88,66
337,85,54,69,59
338,90,57,92,59
339,85,49,65,59
340,81,37,95,53
341,67,54,69,50
342,100,45,97,58
343,81,43,72,60
344,90,49,74,51
345,74,47,77,64
346,89,46,73,51
347,79,36,96,58
348,79,51,66,63
349,91,54,81,55
350,104,37,82,54
351,72,48,90,50
352,85,39,97,56
353,92,47,84,71
354,93,39,93,44
355,90,64,79,66
356,96,34,108,49
357,89,45,84,52
358,77,51,89,62
359,96,49,79,60
360,85,56,86,55
361,89,54,80,58
362,95,53,95,49
363,80,46,83,52
364,90,46,102,62
365,74,44,71,51
366,99,49,100,65
367,64,45,102,53
368,99,43,68,71
369,71,49,88,67
370,70,59,97,56
371,80,54,90,69
372,89,42,95,50
373,88,52,88,54
374,73,54,94,59
375,83,47,90,62
376,70,48,78,56
377,92,50,65,56
378,72,57,80,61
379,68,37,81,46
380,77,38,71,61
381,78,48,95,51
382,95,41,87,57
383,91,42,77,55
384,98,41,90,51
385,85,36,73,56
386,88,43,77,46
387,78,57,100,54
388,99,57,94,49
389,99,54,93,51
390,69,47,88,65
391,74,45,86,62
392,77,40,79,51
393,75,57,88,50
394,96,45,90,56
395,83,44,73,68
396,75,42,58,51
397,99,50,80,68
398,87,36,85,57
399,89,47,79,62
400,85,38,86,55
401,89,43,87,57
402,86,56,80,62
403,80,48,84,66
404,62,37,77,54
405,88,50,78,68
406,76,36,89,49
407,83,43,86,69
408,83,50,69,46
409,73,40,86,50
410,82,46,75,57
411,80,50,72,56
412,80,31,80,60
413,93,46,88,57
414,83,62,83,53
415,82,52,75,59
416,91,49,91,60
417,91,35,98,54
418,95,58,74,54
419,82,47,103,53
420,58,48,92,51
421,77,48,93,60
422,81,43,84,54
423,86,62,81,56
424,80,47,98,54
425,70,51,102,57
426,80,46,81,59
427,77,45,84,50
428,72,41,113,51
429,78,42,83,56
430,102,43,87,60
431,72,51,80,48
432,90,55,93,59
433,80,51,108,52
434,99,48,88,54
435,89,55,117,54
436,85,36,95,52
437,90,50,84,56
438,78,55,76,46
439,84,35,78,58
440,100,50,91,55
441,81,44,84,48
442,91,51,85,59
443,93,50,71,63
444,97,63,77,63
445,83,44,73,55
446,88,53,75,58
447,71,51,88,60
448,78,41,86,60
449,80,47,89,47
450,90,49,87,46
451,77,44,73,54
452,80,61,80,53
453,68,39,90,44
454,86,49,95,50
455,84,45,90,52
456,82,44,85,52
457,76,42,80,59
458,84,48,86,56
459,82,47,93,48
460,67,53,65,62
461,77,67,63,56
462,78,45,83,65
463,62,48,77,52
464,85,52,98,65
465,86,50,87,53
466,80,40,91,50
467,74,53,64,48
468,84,42,95,62
469,84,55,78,57
470,79,45,104,53
471,78,51,78,57
472,74,40,86,51
473,84,53,99,71
474,95,42,86,63
475,87,42,79,58
476,85,46,78,61
477,74,52,70,52
478,87,46,86,54
479,92,35,95,65
480,81,56,81,53
481,78,49,72,69
482,79,47,79,54
483,77,53,95,53
484,76,42,63,63
485,86,40,79,68
486,68,40,81,47
487,75,45,75,56
488,103,49,80,59
489,85,44,91,48
490,69,49,96,57
491,83,56,74,72
492,84,40,67,58
493,79,40,91,58
494,81,38,74,67
495,81,49,81,59
496,84,44,69,46
497,82,48,64,60
498,85,54,79,56
499,84,50,84,58
500,91,41,86,60
501,81,46,86,65
502,81,43,99,49
503,86,52,101,57
504,87,43,63,53
505,81,43,74,53
506,98,44,75,46
507,91,42,73,61
508,68,58,83,52
