Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7563.461,5.697360602404751,8727.234,6.138554131293689,85.586,0.554275777603205,57.216,0.4752844109281002,633.753,1.6579181694693668
Sample,ch1,ch2,ch3,ch4,coinc12
217,7504,8602,90,60,615
218,7586,8605,97,58,628
219,7610,8896,85,52,610
220,7421,8702,94,43,666
221,7655,8683,97,48,607
222,7594,8791,80,48,631
223,7525,8838,95,48,647
224,7635,8819,82,67,642
225,7476,8734,87,54,576
226,7412,8955,87,54,627
227,7406,8722,77,55,651
228,7728,8824,90,59,635
229,7509,8707,91,59,553
230,7683,8646,76,52,659
231,7488,8725,97,49,622
232,7604,8801,73,56,664
233,7504,8724,71,59,608
234,7532,8956,79,64,612
235,7631,8705,84,56,628
236,7528,8759,95,54,621
237,7573,8805,85,49,621
238,7540,8762,93,70,629
239,7423,8549,92,49,636
240,7448,8552,87,49,612
241,7357,8788,82,79,646
242,7600,8695,103,59,639
243,7612,8642,77,71,652
244,7561,8865,68,63,669
245,7560,8810,84,54,627
246,7504,8862,88,66,595
247,7454,8623,79,59,591
248,7482,8770,86,58,606
249,7600,8871,76,49,610
250,7525,8806,78,58,627
251,7629,8849,92,57,653
252,7400,8596,85,65,595
253,7637,8755,77,73,651
254,7543,8698,88,52,626
255,7447,8788,90,69,625
256,7543,8703,79,60,663
257,7413,8735,83,67,596
258,7564,8707,83,59,631
259,7429,8633,71,62,657
260,7610,8754,88,62,647
261,7580,8752,90,55,640
262,7569,8626,75,62,660
263,7488,8837,90,48,640
264,7578,8811,85,60,683
265,7666,8598,92,59,685
266,7510,8793,88,60,651
267,7475,8542,82,52,613
268,7645,8742,97,40,657
269,7556,8738,80,61,642
270,7462,8645,73,51,619
271,7498,8842,96,66,651
272,7502,8482,64,61,604
273,7555,8708,75,54,651
274,7498,8674,89,60,632
275,7375,8801,88,62,665
276,7600,8770,89,52,671
277,7668,8706,78,64,652
278,7361,8755,89,54,637
279,7491,8656,93,52,638
280,7506,8662,88,63,606
281,7522,8880,76,55,646
282,7486,8809,91,54,608
283,7706,8749,76,45,663
284,7498,8718,86,57,574
285,7731,8609,81,46,661
286,7531,8471,86,74,647
287,7577,8733,87,58,654
288,7521,8733,75,54,691
289,7499,8718,83,46,616
290,7676,8721,72,46,669
291,7539,8804,87,55,665
292,7571,8853,68,51,633
293,7500,8809,74,60,668
294,7517,8650,86,53,661
295,7609,8718,88,57,623
296,7640,8598,86,51,643
297,7629,8882,82,63,627
298,7692,8606,100,44,631
299,7553,8754,81,51,636
300,7627,8701,94,52,638
301,7532,8874,95,58,619
302,7733,8758,84,53,617
303,7558,8640,95,58,612
304,7485,8604,74,59,602
305,7616,8643,75,61,631
306,7413,8819,89,59,628
307,7435,8747,83,53,616
308,7596,8803,69,59,641
309,7696,8764,92,52,615
310,7453,8698,86,58,595
311,7605,8634,89,56,653
312,7363,8759,82,64,605
313,7533,8817,110,51,653
314,7496,8577,74,57,608
315,7581,8646,81,54,610
316,7563,8682,77,56,689
317,7459,8791,83,54,630
