Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7568.012,5.510779265413569,136.64,0.6999682532483565,86.048,0.5871281831963984,56.913,0.47307242735285415,5.277,0.14446436915016087
Sample,ch1,ch2,ch3,ch4,coinc12
234,7670,118,84,38,4
235,7552,131,92,57,5
236,7610,143,86,64,4
237,7704,147,86,61,4
238,7650,115,81,68,6
239,7837,142,75,42,3
240,7648,133,87,51,5
241,7372,118,78,41,3
242,7699,144,76,54,4
243,7577,116,85,54,6
244,7541,152,88,64,10
245,7644,126,86,54,5
246,7626,129,79,63,2
247,7654,129,95,50,2
248,7372,131,76,64,8
249,7492,143,69,55,10
250,7505,119,78,61,8
251,7647,131,72,55,7
252,7506,131,97,58,7
253,7545,129,76,56,5
254,7561,145,86,48,3
255,7713,124,98,59,6
256,7582,131,72,69,2
257,7510,130,94,62,6
258,7460,145,85,49,5
259,7651,147,90,57,7
260,7764,133,79,54,8
261,7480,125,68,51,3
262,7413,131,95,63,7
263,7606,135,84,55,4
264,7593,139,85,52,10
265,7651,149,98,43,2
266,7500,132,69,54,7
267,7439,150,79,57,9
268,7719,132,95,65,9
269,7552,118,97,64,3
270,7575,151,70,61,5
271,7654,134,96,56,5
272,7614,139,100,60,2
273,7542,143,101,53,5
274,7527,118,93,61,6
275,7432,141,86,54,3
276,7708,137,87,55,6
277,7638,142,98,52,7
278,7610,139,77,61,5
279,7475,148,83,65,5
280,7495,133,97,53,6
281,7477,147,95,59,7
282,7485,140,91,52,4
283,7700,136,87,53,2
284,7508,142,77,49,4
285,7581,124,76,54,7
286,7481,146,94,43,4
287,7499,130,76,49,3
288,7569,132,78,65,7
289,7535,156,83,70,4
290,7569,136,86,49,5
291,7474,146,98,58,5
292,7526,147,81,57,6
293,7520,173,80,70,6
294,7715,163,80,55,5
295,7553,156,75,52,3
296,7553,135,77,47,8
297,7575,148,79,62,4
298,7479,144,96,68,4
299,7701,131,90,52,4
300,7620,150,90,60,5
301,7602,132,93,52,6
302,7429,134,82,53,9
303,7434,138,90,50,2
304,7533,128,96,62,9
305,7779,116,87,61,5
306,7668,114,92,59,5
307,7521,140,72,65,5
308,7568,128,114,52,3
309,7567,139,101,53,7
310,7566,123,81,64,0
311,7533,129,66,67,2
312,7381,134,83,49,6
313,7464,127,74,53,5
314,7638,148,95,46,7
315,7514,147,87,50,3
316,7585,142,88,69,3
317,7604,122,102,54,5
318,7496,140,94,61,4
319,7561,140,90,62,1
320,7407,141,89,60,10
321,7549,134,101,72,9
322,7674,140,86,56,5
323,7726,143,84,61,7
324,7507,135,96,56,6
325,7602,130,83,64,2
326,7555,132,99,41,5
327,7630,132,81,62,1
328,7643,125,89,49,6
329,7537,143,86,49,4
330,7489,139,96,51,5
331,7669,122,100,45,4
332,7575,116,104,65,6
333,7725,147,88,48,3
334,7525,154,90,49,6
335,7637,139,86,64,4
336,7609,127,70,56,6
337,7465,136,69,51,4
338,7593,128,90,59,4
339,7614,130,102,53,5
340,7454,124,75,71,1
341,7473,127,86,64,7
342,7570,136,98,63,3
343,7619,129,84,66,6
344,7735,139,93,68,2
